benchmark,topology,pinning,ht,allocator,instance_id,interop_threads,intraop_threads,batch_size,latency(min),latency(avg),latency(max),flops
bert_manual_script,sequential,numactl,false,default,1,1,15,1024,2872.9079799959436,2961.4725454570726,3089.0085130231455,0.0
bert_manual_script,sequential,numactl,false,default,1,1,16,1024,2728.1332499696873,2837.338791353395,2968.9212249941193,0.0
bert_manual_script,sequential,numactl,true,default,1,1,1,1,134.07286099391058,134.58185191149823,139.44798399461433,0.0
bert_manual_script,sequential,numactl,true,default,1,1,2,1,121.73654499929398,122.23904997110367,127.48350203037262,0.0
bert_manual_script,sequential,numactl,true,default,1,1,3,1,126.45307503407821,128.24077565863263,130.75676595326513,0.0
bert_manual_script,sequential,numactl,true,default,1,1,4,1,103.71008299989626,104.71701635106001,107.34667797805741,0.0
bert_manual_script,sequential,numactl,true,default,1,1,5,1,79.88916401518509,81.11986460746266,83.47207098267972,0.0
bert_manual_script,sequential,numactl,true,default,1,1,6,1,68.94415797432885,69.63630296697374,72.57933996152133,0.0
bert_manual_script,sequential,numactl,true,default,1,1,7,1,60.6510000070557,61.155451970989816,64.02173597598448,0.0
bert_manual_script,sequential,numactl,true,default,1,1,8,1,57.17957502929494,57.79447929293383,60.56262704078108,0.0
bert_manual_script,sequential,numactl,true,default,1,1,9,1,56.139563967008144,56.83399749803357,58.9859850006178,0.0
bert_manual_script,sequential,numactl,true,default,1,1,10,1,43.69580501224846,44.11581346183084,47.17908799648285,0.0
bert_manual_script,sequential,numactl,true,default,1,1,11,1,42.777132999617606,43.401136685861275,46.099053986836225,0.0
bert_manual_script,sequential,numactl,true,default,1,1,12,1,41.94178798934445,42.28551115898881,46.09795403666794,0.0
bert_manual_script,sequential,numactl,true,default,1,1,13,1,38.02308102604002,38.3703757514013,41.275241994298995,0.0
bert_manual_script,sequential,numactl,true,default,1,1,14,1,36.44019900821149,36.748082538251765,40.22889299085364,0.0
bert_manual_script,sequential,numactl,true,default,1,1,15,1,35.46726203057915,35.82820543786511,39.324050943832844,0.0
bert_manual_script,sequential,numactl,true,default,1,1,16,1,33.52359699783847,33.98925148998387,37.32712799683213,0.0
bert_manual_script,sequential,numactl,true,default,1,1,17,1,36.36909800115973,36.66715826955624,39.59947096882388,0.0
bert_manual_script,sequential,numactl,true,default,1,1,18,1,32.63884503394365,32.858219527988695,36.79871599888429,0.0
bert_manual_script,sequential,numactl,true,default,1,1,19,1,35.58500501094386,35.857326430268586,38.90747402328998,0.0
bert_manual_script,sequential,numactl,true,default,1,1,20,1,30.77791299438104,31.034879203070886,35.4407430277206,0.0
bert_manual_script,sequential,numactl,true,default,1,1,21,1,30.105265032034367,30.3102118690731,34.375113958958536,0.0
bert_manual_script,sequential,numactl,true,default,1,1,22,1,30.344378028530627,30.77069795166608,34.66209303587675,0.0
bert_manual_script,sequential,numactl,true,default,1,1,23,1,35.06552003091201,35.46232420485467,38.729797990527004,0.0
bert_manual_script,sequential,numactl,true,default,1,1,24,1,27.698691003024578,28.016361559275538,32.50323102110997,0.0
bert_manual_script,sequential,numactl,true,default,1,1,25,1,27.215420035645366,27.469237793702632,31.84511000290513,0.0
bert_manual_script,sequential,numactl,true,default,1,1,26,1,27.840042021125555,28.037903627264313,32.266110996715724,0.0
bert_manual_script,sequential,numactl,true,default,1,1,27,1,29.694095021113753,29.962828368297778,34.17495498433709,0.0
bert_manual_script,sequential,numactl,true,default,1,1,28,1,25.957637990359217,26.12761272233911,30.621339043136686,0.0
bert_manual_script,sequential,numactl,true,default,1,1,29,1,22.93133595958352,23.335994547232985,28.181537054479122,0.0
bert_manual_script,sequential,numactl,true,default,1,1,30,1,26.31138399010524,26.53540956787765,31.33454901399091,0.0
bert_manual_script,sequential,numactl,true,default,1,1,31,1,23.61169399227947,24.342158575891517,28.961133968550712,0.0
bert_manual_script,sequential,numactl,true,default,1,1,32,1,25.243966025300324,25.44211670407094,30.26597498683259,0.0
bert_manual_script,sequential,numactl,true,default,1,1,1,2,154.39065295504406,155.43848834582604,166.71232099179178,0.0
bert_manual_script,sequential,numactl,true,default,1,1,2,2,144.20513500226662,145.13681751152035,158.02410803735256,0.0
bert_manual_script,sequential,numactl,true,default,1,1,3,2,141.26101904548705,143.13882401329465,152.1039759973064,0.0
bert_manual_script,sequential,numactl,true,default,1,1,4,2,112.08883702056482,113.34211345820222,122.45270301355049,0.0
bert_manual_script,sequential,numactl,true,default,1,1,5,2,88.20561197353527,89.6235419891309,97.61321695987135,0.0
bert_manual_script,sequential,numactl,true,default,1,1,6,2,76.84527203673497,77.69173751701601,86.37708297464997,0.0
bert_manual_script,sequential,numactl,true,default,1,1,7,2,68.03248595679179,68.7196293665329,76.56884001335129,0.0
bert_manual_script,sequential,numactl,true,default,1,1,8,2,63.0013250047341,64.71946268808097,73.68592999409884,0.0
bert_manual_script,sequential,numactl,true,default,1,1,9,2,59.33365999953821,60.998064823797904,68.22786602424458,0.0
bert_manual_script,sequential,numactl,true,default,1,1,10,2,49.601308011915535,50.50833713496104,58.82615799782798,0.0
bert_manual_script,sequential,numactl,true,default,1,1,11,2,46.523938013706356,47.46313053066842,54.444491979666054,0.0
bert_manual_script,sequential,numactl,true,default,1,1,12,2,47.019319026730955,47.56481004063971,56.192139047198,0.0
bert_manual_script,sequential,numactl,true,default,1,1,13,2,43.3011389686726,43.75332076800987,51.819460990373045,0.0
bert_manual_script,sequential,numactl,true,default,1,1,14,2,41.0518340067938,41.43278560775798,50.03477795980871,0.0
bert_manual_script,sequential,numactl,true,default,1,1,15,2,40.35770200425759,40.897985888877884,49.84304099343717,0.0
bert_manual_script,sequential,numactl,true,default,1,1,16,2,38.04125601891428,38.738093857537024,47.575181000865996,0.0
bert_manual_script,sequential,numactl,true,default,1,1,17,2,38.68978098034859,39.763894417556,47.957032977137715,0.0
bert_manual_script,sequential,numactl,true,default,1,1,18,2,36.78565000882372,37.16128743428271,46.488630992826074,0.0
bert_manual_script,sequential,numactl,true,default,1,1,19,2,40.37090198835358,41.1445352336159,50.60940398834646,0.0
bert_manual_script,sequential,numactl,true,default,1,1,20,2,35.50466301385313,35.840526673709974,45.09949701605365,0.0
bert_manual_script,sequential,numactl,true,default,1,1,21,2,32.42902300553396,32.89244367915671,41.305814986117184,0.0
bert_manual_script,sequential,numactl,true,default,1,1,22,2,35.4163539595902,35.82459492899943,45.09951901854947,0.0
bert_manual_script,sequential,numactl,true,default,1,1,23,2,39.88046396989375,40.3475995559711,49.13049697643146,0.0
bert_manual_script,sequential,numactl,true,default,1,1,24,2,31.896768952719867,32.33982712670695,41.919233975932,0.0
bert_manual_script,sequential,numactl,true,default,1,1,25,2,29.88912700675428,30.22754479025025,39.05605897307396,0.0
bert_manual_script,sequential,numactl,true,default,1,1,26,2,31.568166974466294,32.08793201018125,41.71447700355202,0.0
bert_manual_script,sequential,numactl,true,default,1,1,27,2,34.06303300289437,34.511866237735376,44.194208981934935,0.0
bert_manual_script,sequential,numactl,true,default,1,1,28,2,30.450599966570735,30.821230874280445,40.490122977644205,0.0
bert_manual_script,sequential,numactl,true,default,1,1,29,2,27.877441025339067,28.546689818031155,37.26353100501001,0.0
bert_manual_script,sequential,numactl,true,default,1,1,30,2,31.286279030609876,31.643871183623556,41.4886359940283,0.0
bert_manual_script,sequential,numactl,true,default,1,1,31,2,28.02127500763163,28.757693010848016,39.01641699485481,0.0
bert_manual_script,sequential,numactl,true,default,1,1,32,2,30.041049991268665,30.404933511745185,40.259968023747206,0.0
bert_manual_script,sequential,numactl,true,default,1,1,1,4,201.64157502586022,203.07880544045474,224.7383749927394,0.0
bert_manual_script,sequential,numactl,true,default,1,1,2,4,188.20340500678867,189.03184620896354,205.61303000431508,0.0
bert_manual_script,sequential,numactl,true,default,1,1,3,4,168.38537697913125,170.49322945065796,183.53148800088093,0.0
bert_manual_script,sequential,numactl,true,default,1,1,4,4,133.2418880192563,134.72976317629218,147.17899000970647,0.0
bert_manual_script,sequential,numactl,true,default,1,1,5,4,109.14859100012109,110.30568843882065,121.23847397742793,0.0
bert_manual_script,sequential,numactl,true,default,1,1,6,4,90.47249698778614,91.1976871592924,102.05706302076578,0.0
bert_manual_script,sequential,numactl,true,default,1,1,7,4,82.31640298618004,83.01896828983445,95.27616901323199,0.0
bert_manual_script,sequential,numactl,true,default,1,1,8,4,73.98509298218414,75.00795289117377,85.60403995215893,0.0
bert_manual_script,sequential,numactl,true,default,1,1,9,4,69.78156499098986,70.88862788688857,81.51488599833101,0.0
bert_manual_script,sequential,numactl,true,default,1,1,10,4,59.597216022666544,60.4713296337286,71.70644501456991,0.0
bert_manual_script,sequential,numactl,true,default,1,1,11,4,58.740197971928865,59.55515415931586,71.08709996100515,0.0
bert_manual_script,sequential,numactl,true,default,1,1,12,4,54.638145957142115,55.41548890003469,65.95230603124946,0.0
bert_manual_script,sequential,numactl,true,default,1,1,13,4,52.6204279740341,53.53221236146055,64.94902301346883,0.0
bert_manual_script,sequential,numactl,true,default,1,1,14,4,48.33565000444651,49.1311117116129,59.119359008036554,0.0
bert_manual_script,sequential,numactl,true,default,1,1,15,4,47.95635800110176,48.84397196932696,59.27718704333529,0.0
bert_manual_script,sequential,numactl,true,default,1,1,16,4,45.50195299088955,46.11758173792623,56.21935799717903,0.0
bert_manual_script,sequential,numactl,true,default,1,1,17,4,47.42855700897053,48.1147424998926,59.050064999610186,0.0
bert_manual_script,sequential,numactl,true,default,1,1,18,4,43.33342600148171,43.84527506947052,54.53113198745996,0.0
bert_manual_script,sequential,numactl,true,default,1,1,19,4,46.22455401113257,47.18867623247206,58.05660400073975,0.0
bert_manual_script,sequential,numactl,true,default,1,1,20,4,41.30844195606187,42.17738976876717,52.587206999305636,0.0
bert_manual_script,sequential,numactl,true,default,1,1,21,4,40.6184250023216,41.446125239599496,52.1402379963547,0.0
bert_manual_script,sequential,numactl,true,default,1,1,22,4,40.15425895340741,40.72624058928341,51.34815798373893,0.0
bert_manual_script,sequential,numactl,true,default,1,1,23,4,46.412563999183476,47.0768617966678,57.52242298331112,0.0
bert_manual_script,sequential,numactl,true,default,1,1,24,4,37.22486499464139,38.10891086119227,49.13747700629756,0.0
bert_manual_script,sequential,numactl,true,default,1,1,25,4,37.41065599024296,38.11630270269234,49.70050003612414,0.0
bert_manual_script,sequential,numactl,true,default,1,1,26,4,38.23988704243675,38.82225288718473,50.53921800572425,0.0
bert_manual_script,sequential,numactl,true,default,1,1,27,4,39.50197796802968,39.89385745022446,51.5700540272519,0.0
bert_manual_script,sequential,numactl,true,default,1,1,28,4,36.00548498798162,36.36127027741168,48.152093950193375,0.0
bert_manual_script,sequential,numactl,true,default,1,1,29,4,32.87866205209866,33.92060695565306,45.41049100225791,0.0
bert_manual_script,sequential,numactl,true,default,1,1,30,4,35.667949996422976,36.44139739975799,47.78212902601808,0.0
bert_manual_script,sequential,numactl,true,default,1,1,31,4,33.1234370241873,33.8725664280355,45.44391197850928,0.0
bert_manual_script,sequential,numactl,true,default,1,1,32,4,34.396259987261146,34.88601905934047,45.74827098986134,0.0
bert_manual_script,sequential,numactl,true,default,1,1,1,8,282.31459099333733,287.0206925267121,328.64202302880585,0.0
bert_manual_script,sequential,numactl,true,default,1,1,2,8,286.000782973133,288.9702352968743,318.4327809722163,0.0
bert_manual_script,sequential,numactl,true,default,1,1,3,8,206.63689798675478,208.76231275498867,231.0236640041694,0.0
bert_manual_script,sequential,numactl,true,default,1,1,4,8,161.87767003430054,163.82356730347965,184.17589203454554,0.0
bert_manual_script,sequential,numactl,true,default,1,1,5,8,151.56749199377373,154.420422600233,172.81530500622466,0.0
bert_manual_script,sequential,numactl,true,default,1,1,6,8,112.62354505015537,113.83416835102253,131.91549701150507,0.0
bert_manual_script,sequential,numactl,true,default,1,1,7,8,120.73438498191535,124.02265510929283,140.63698600511998,0.0
bert_manual_script,sequential,numactl,true,default,1,1,8,8,89.25770700443536,90.34458464884665,105.04628502530977,0.0
bert_manual_script,sequential,numactl,true,default,1,1,9,8,106.25131498090923,108.00845833087806,122.55837704287842,0.0
bert_manual_script,sequential,numactl,true,default,1,1,10,8,74.51080199098215,76.00928530853707,89.72805400844663,0.0
bert_manual_script,sequential,numactl,true,default,1,1,11,8,93.92514999490231,95.89173691056203,109.18778297491372,0.0
bert_manual_script,sequential,numactl,true,default,1,1,12,8,69.95141401421279,71.24098988133483,87.24438195349649,0.0
bert_manual_script,sequential,numactl,true,default,1,1,13,8,88.38573796674609,90.78405495150946,105.20337201887742,0.0
bert_manual_script,sequential,numactl,true,default,1,1,14,8,61.26357102766633,62.482154289027676,76.21393096633255,0.0
bert_manual_script,sequential,numactl,true,default,1,1,15,8,81.47872902918607,83.65792816330213,97.71922696381807,0.0
bert_manual_script,sequential,numactl,true,default,1,1,16,8,56.58338201465085,57.724989833077416,71.57647400163114,0.0
bert_manual_script,sequential,numactl,true,default,1,1,17,8,81.37567201629281,83.5875698790187,102.3737890063785,0.0
bert_manual_script,sequential,numactl,true,default,1,1,18,8,54.79320598533377,55.98300726793241,70.4804239794612,0.0
bert_manual_script,sequential,numactl,true,default,1,1,19,8,78.87753401882946,81.0714576888131,94.42519396543503,0.0
bert_manual_script,sequential,numactl,true,default,1,1,20,8,52.20101698068902,53.68659940024372,67.97919602831826,0.0
bert_manual_script,sequential,numactl,true,default,1,1,21,8,77.88200897630304,79.40454415220302,93.78484101034701,0.0
bert_manual_script,sequential,numactl,true,default,1,1,22,8,54.15000900393352,55.43868973036297,71.84253900777549,0.0
bert_manual_script,sequential,numactl,true,default,1,1,23,8,74.52719798311591,76.07304789707996,90.92165698530152,0.0
bert_manual_script,sequential,numactl,true,default,1,1,24,8,46.936537022702396,48.69530698808376,63.10615595430136,0.0
bert_manual_script,sequential,numactl,true,default,1,1,25,8,76.06100203702226,77.5792806915706,93.56868598842993,0.0
bert_manual_script,sequential,numactl,true,default,1,1,26,8,52.96001298120245,53.89107376046013,69.7757059824653,0.0
bert_manual_script,sequential,numactl,true,default,1,1,27,8,75.52795298397541,77.3612799908733,92.21702895592898,0.0
bert_manual_script,sequential,numactl,true,default,1,1,28,8,46.03372199926525,47.596991913742386,62.58539296686649,0.0
bert_manual_script,sequential,numactl,true,default,1,1,29,8,76.39492797898129,77.65642828831915,93.56618201127276,0.0
bert_manual_script,sequential,numactl,true,default,1,1,30,8,46.105185989290476,47.489748678635806,62.93541000923142,0.0
bert_manual_script,sequential,numactl,true,default,1,1,31,8,78.8041700143367,80.01916485256515,95.69324302719906,0.0
bert_manual_script,sequential,numactl,true,default,1,1,32,8,45.15957803232595,46.1664112174185,61.634265002794564,0.0
bert_manual_script,sequential,numactl,true,default,1,1,1,16,445.1042349683121,453.75724582350813,535.0300620193593,0.0
bert_manual_script,sequential,numactl,true,default,1,1,2,16,459.83651001006365,466.5761366218794,525.2145350095816,0.0
bert_manual_script,sequential,numactl,true,default,1,1,3,16,296.52129695750773,301.1110892734723,341.19004098465666,0.0
bert_manual_script,sequential,numactl,true,default,1,1,4,16,236.08898901147768,239.29088366159704,273.146879975684,0.0
bert_manual_script,sequential,numactl,true,default,1,1,5,16,216.56833996530622,218.895480739302,248.07553202845156,0.0
bert_manual_script,sequential,numactl,true,default,1,1,6,16,184.63360995519906,187.87196745863184,212.5501520349644,0.0
bert_manual_script,sequential,numactl,true,default,1,1,7,16,173.44524699728936,176.35439262841828,198.96511902334169,0.0
bert_manual_script,sequential,numactl,true,default,1,1,8,16,139.7432759986259,145.14357532782014,166.94675700273365,0.0
bert_manual_script,sequential,numactl,true,default,1,1,9,16,151.0777850053273,154.2619083757745,174.7260779957287,0.0
bert_manual_script,sequential,numactl,true,default,1,1,10,16,110.79487996175885,112.76507777627558,143.70481303194538,0.0
bert_manual_script,sequential,numactl,true,default,1,1,11,16,124.15442301426083,126.54683668108191,147.51910499762744,0.0
bert_manual_script,sequential,numactl,true,default,1,1,12,16,99.57427403423935,103.38952081103344,123.6198500264436,0.0
bert_manual_script,sequential,numactl,true,default,1,1,13,16,112.3018569778651,114.87365820037667,135.19142102450132,0.0
bert_manual_script,sequential,numactl,true,default,1,1,14,16,90.2879589702934,93.3257857488934,112.43648000527173,0.0
bert_manual_script,sequential,numactl,true,default,1,1,15,16,108.23718301253393,111.08850632735994,130.65713102696463,0.0
bert_manual_script,sequential,numactl,true,default,1,1,16,16,83.81731598637998,88.03947123989929,110.67248100880533,0.0
bert_manual_script,sequential,numactl,true,default,1,1,17,16,103.34026505006477,105.37738797545899,123.25393001083285,0.0
bert_manual_script,sequential,numactl,true,default,1,1,18,16,84.07811698270962,86.2833997712005,106.95052403025329,0.0
bert_manual_script,sequential,numactl,true,default,1,1,19,16,99.92248599883169,102.72928264923394,121.5912860352546,0.0
bert_manual_script,sequential,numactl,true,default,1,1,20,16,75.76250599231571,78.70523562247399,93.46175700193271,0.0
bert_manual_script,sequential,numactl,true,default,1,1,21,16,92.85127301700413,94.94927317951806,113.68149402551353,0.0
bert_manual_script,sequential,numactl,true,default,1,1,22,16,81.40922500751913,83.63765387854073,103.14005496911705,0.0
bert_manual_script,sequential,numactl,true,default,1,1,23,16,92.25572901777923,94.79073805385269,114.71327196341008,0.0
bert_manual_script,sequential,numactl,true,default,1,1,24,16,69.43038495955989,73.61989441793412,91.20625298237428,0.0
bert_manual_script,sequential,numactl,true,default,1,1,25,16,92.45001000817865,94.7905204485869,115.03711598925292,0.0
bert_manual_script,sequential,numactl,true,default,1,1,26,16,81.46409399341792,83.49640123487916,99.74355396116152,0.0
bert_manual_script,sequential,numactl,true,default,1,1,27,16,88.24010199168697,89.97174010262825,109.34624704532325,0.0
bert_manual_script,sequential,numactl,true,default,1,1,28,16,70.53164095850661,73.76467703899834,92.35021698987111,0.0
bert_manual_script,sequential,numactl,true,default,1,1,29,16,89.28687399020419,91.02052239817567,111.32999195251614,0.0
bert_manual_script,sequential,numactl,true,default,1,1,30,16,70.30344899976626,73.94794343214016,93.69112399872392,0.0
bert_manual_script,sequential,numactl,true,default,1,1,31,16,89.98162503121421,93.0624147731578,111.84325499925762,0.0
bert_manual_script,sequential,numactl,true,default,1,1,32,16,66.41678098822013,68.37891999981366,88.13852100865915,0.0
bert_manual_script,sequential,numactl,true,default,1,1,1,32,785.1683899643831,812.7442608581623,980.9493369539268,0.0
bert_manual_script,sequential,numactl,true,default,1,1,2,32,799.7743819723837,812.0005332730943,931.9987110211514,0.0
bert_manual_script,sequential,numactl,true,default,1,1,3,32,531.5819989773445,539.0903858363163,624.1238139919005,0.0
bert_manual_script,sequential,numactl,true,default,1,1,4,32,424.48439495638013,431.6625072219176,496.08962901402265,0.0
bert_manual_script,sequential,numactl,true,default,1,1,5,32,332.61212200159207,340.8260360744316,394.8159759747796,0.0
bert_manual_script,sequential,numactl,true,default,1,1,6,32,300.7477570208721,304.7653022722807,354.57118100021034,0.0
bert_manual_script,sequential,numactl,true,default,1,1,7,32,264.2853239667602,269.11172667867504,310.3822349803522,0.0
bert_manual_script,sequential,numactl,true,default,1,1,8,32,238.65776101592928,242.14913417992648,281.6417700378224,0.0
bert_manual_script,sequential,numactl,true,default,1,1,9,32,220.33678996376693,224.5813086075941,260.0324389641173,0.0
bert_manual_script,sequential,numactl,true,default,1,1,10,32,205.60768502764404,209.24555785255507,242.21040698466823,0.0
bert_manual_script,sequential,numactl,true,default,1,1,11,32,199.1529960068874,203.23964007315226,233.84629300562665,0.0
bert_manual_script,sequential,numactl,true,default,1,1,12,32,182.98183503793553,185.5070558132138,217.08445204421878,0.0
bert_manual_script,sequential,numactl,true,default,1,1,13,32,177.4435379775241,181.34533615841065,212.84865704365075,0.0
bert_manual_script,sequential,numactl,true,default,1,1,14,32,161.4483220037073,166.5878397168126,192.8882270003669,0.0
bert_manual_script,sequential,numactl,true,default,1,1,15,32,165.86945997551084,169.8348112142412,199.820848996751,0.0
bert_manual_script,sequential,numactl,true,default,1,1,16,32,180.85248296847567,184.5656733890064,216.20627702213824,0.0
