benchmark,allocator,pinning,source,instances,instance_id,interop_threads,intraop_threads,batch_size,latency(min),latency(avg),latency(max),flops
resnet_manual_none,default,numactl,torch,2,0,1,1,16,1620.8177929511294,1810.9887971088756,2612.611452001147,0.0
resnet_manual_none,default,numactl,torch,2,1,1,1,16,1666.4396409178153,2220.6817915209103,2645.5369730247185,0.0
resnet_manual_none,default,numactl,torch,2,2,1,1,16,1643.0513269733638,2240.435340454569,2674.5500169927254,0.0
resnet_manual_none,default,numactl,torch,4,0,1,1,16,1619.717066991143,1982.4064974451903,2627.238271990791,0.0
resnet_manual_none,default,numactl,torch,4,2,1,1,16,1666.4373120293021,1852.113020468969,2652.5746500119567,0.0
resnet_manual_none,default,numactl,torch,4,4,1,1,16,1651.020088000223,2144.1818020422943,2678.4427169477567,0.0
resnet_manual_none,default,numactl,torch,4,1,1,1,16,1670.0524870539084,2221.4132547634654,2654.9874970223755,0.0
resnet_manual_none,default,numactl,torch,4,3,1,1,16,1707.5049510458484,2287.4049283307977,2659.1235799714923,0.0
resnet_manual_none,default,numactl,torch,6,0,1,1,16,1787.6708980184048,2411.6398571280297,2679.3053989531472,0.0
resnet_manual_none,default,numactl,torch,6,2,1,1,16,1682.0405449252576,1856.77021429874,2668.5246949782595,0.0
resnet_manual_none,default,numactl,torch,6,3,1,1,16,1678.503890056163,2263.44695573207,2717.596592963673,0.0
resnet_manual_none,default,numactl,torch,6,1,1,1,16,1678.5141190048307,2309.9692620290443,2728.382998961024,0.0
resnet_manual_none,default,numactl,torch,6,4,1,1,16,1717.6901360508054,2491.6456531058066,2689.982617041096,0.0
resnet_manual_none,default,numactl,torch,6,6,1,1,16,2042.1575150685385,2652.5237027939875,2719.462147913873,0.0
resnet_manual_none,default,numactl,torch,6,5,1,1,16,1770.9931279532611,2661.142770331353,2732.2264899266884,0.0
resnet_manual_none,default,numactl,torch,8,0,1,1,16,1783.9319759514183,2402.836572303204,2668.263969011605,0.0
resnet_manual_none,default,numactl,torch,8,2,1,1,16,1709.6869910601526,1892.5734600087162,2722.005477990024,0.0
resnet_manual_none,default,numactl,torch,8,8,1,1,16,1705.354008008726,1914.8032306239475,2718.208185979165,0.0
resnet_manual_none,default,numactl,torch,8,7,1,1,16,1699.1819640388712,1940.5010728968773,2746.9645870151,0.0
resnet_manual_none,default,numactl,torch,8,3,1,1,16,1714.3893239554018,2299.6497586078476,2775.33549699001,0.0
resnet_manual_none,default,numactl,torch,8,1,1,1,16,1673.0534449452534,2343.9582884463016,2780.523727997206,0.0
resnet_manual_none,default,numactl,torch,8,4,1,1,16,1741.7140089673921,2521.031385761453,2730.905640986748,0.0
resnet_manual_none,default,numactl,torch,8,6,1,1,16,2043.5354340588674,2687.9916996054817,2767.5930550321937,0.0
resnet_manual_none,default,numactl,torch,8,5,1,1,16,1808.670190977864,2704.0623186773155,2797.2919440362602,0.0
resnet_manual_none,default,numactl,torch,10,0,1,1,16,1626.545562990941,2053.5174718883354,2642.956865951419,0.0
resnet_manual_none,default,numactl,torch,10,8,1,1,16,1825.5132889607921,1934.8436550528277,2813.120478997007,0.0
resnet_manual_none,default,numactl,torch,10,7,1,1,16,1792.329924996011,2019.6161130489781,2864.5640480099246,0.0
resnet_manual_none,default,numactl,torch,10,4,1,1,16,1711.5402669878677,2139.5667023514397,2806.688445038162,0.0
resnet_manual_none,default,numactl,torch,10,2,1,1,16,1757.7099779155105,2128.7031444290187,2880.1725499797612,0.0
resnet_manual_none,default,numactl,torch,10,1,1,1,16,1760.8250960474834,2132.19997128821,2889.407375943847,0.0
resnet_manual_none,default,numactl,torch,10,3,1,1,16,1785.5554020497948,2210.4680929810274,2898.7704599276185,0.0
resnet_manual_none,default,numactl,torch,10,10,1,1,16,1738.6408690363169,2277.7205612289254,2864.2660019686446,0.0
resnet_manual_none,default,numactl,torch,10,6,1,1,16,1721.3846939848736,2508.2735621358734,2873.454049928114,0.0
resnet_manual_none,default,numactl,torch,10,5,1,1,16,1729.3498869985342,2523.1707018928137,2889.1903719631955,0.0
resnet_manual_none,default,numactl,torch,10,9,1,1,16,1886.7645970312878,2671.416026116349,2905.0005560275167,0.0
resnet_manual_none,default,numactl,torch,12,0,1,1,16,1621.1843509227037,2318.089368514484,2643.5184680158272,0.0
resnet_manual_none,default,numactl,torch,12,3,1,1,16,1872.4204630125314,2049.7689144092146,2955.411374103278,0.0
resnet_manual_none,default,numactl,torch,12,1,1,1,16,1903.7681790068746,2054.440168638248,2932.347630034201,0.0
resnet_manual_none,default,numactl,torch,12,7,1,1,16,1812.0913709281012,2077.451266403077,2923.8259569974616,0.0
resnet_manual_none,default,numactl,torch,12,5,1,1,16,1823.87141790241,2128.291624437552,2915.8647540025413,0.0
resnet_manual_none,default,numactl,torch,12,10,1,1,16,1871.5461560059339,2131.583240191685,2856.4329519867897,0.0
resnet_manual_none,default,numactl,torch,12,4,1,1,16,1714.7231829585508,2191.593945675995,2998.4552459791303,0.0
resnet_manual_none,default,numactl,torch,12,12,1,1,16,1743.0341449799016,2218.9090483263135,2894.497393979691,0.0
resnet_manual_none,default,numactl,torch,12,9,1,1,16,1765.6345349969342,2206.282908816356,2952.755421050824,0.0
resnet_manual_none,default,numactl,torch,12,6,1,1,16,1874.4251260068268,2433.176397163188,2972.9388690320775,0.0
resnet_manual_none,default,numactl,torch,12,8,1,1,16,1797.0503030810505,2452.145974439336,2965.24035197217,0.0
resnet_manual_none,default,numactl,torch,12,11,1,1,16,1882.045487058349,2516.6040879511274,2995.996844023466,0.0
resnet_manual_none,default,numactl,torch,12,2,1,1,16,1915.6802740180865,2742.1971850597765,3031.911670928821,0.0
resnet_manual_none,default,numactl,torch,14,0,1,1,16,1618.0769769707695,1844.334934632061,2594.75361101795,0.0
resnet_manual_none,default,numactl,torch,14,1,1,1,16,2014.357056003064,2189.949363480555,3079.1206350550056,0.0
resnet_manual_none,default,numactl,torch,14,13,1,1,16,1994.798256084323,2169.9935103964526,3018.2514069601893,0.0
resnet_manual_none,default,numactl,torch,14,2,1,1,16,1884.726418997161,2247.049455990782,3065.6035050051287,0.0
resnet_manual_none,default,numactl,torch,14,8,1,1,16,1861.70917598065,2233.5775365284644,3073.9644300192595,0.0
resnet_manual_none,default,numactl,torch,14,9,1,1,16,1834.3146879924461,2263.6116182792466,3147.76100195013,0.0
resnet_manual_none,default,numactl,torch,14,6,1,1,16,1922.2831790102646,2296.3044433877803,3085.875525022857,0.0
resnet_manual_none,default,numactl,torch,14,7,1,1,16,1768.1076490553096,2599.2307182925288,3124.4290380273014,0.0
resnet_manual_none,default,numactl,torch,14,14,1,1,16,1719.0275749890134,2614.2398721259087,3128.1682739499956,0.0
resnet_manual_none,default,numactl,torch,14,12,1,1,16,1978.0018030432984,2715.853105770657,3158.1953490385786,0.0
resnet_manual_none,default,numactl,torch,14,4,1,1,16,2018.6371240997687,2843.2953964010812,3119.7747179539874,0.0
resnet_manual_none,default,numactl,torch,14,5,1,1,16,2052.1408040076494,2844.006530290935,3155.83606204018,0.0
resnet_manual_none,default,numactl,torch,14,11,1,1,16,2250.04968396388,2953.26888576732,3180.2329879719764,0.0
resnet_manual_none,default,numactl,torch,14,3,1,1,16,2082.646562019363,2948.59214365948,3181.6545879701152,0.0
resnet_manual_none,default,numactl,torch,14,10,1,1,16,2088.6498210020363,2950.8049216168,3195.366392028518,0.0
resnet_manual_none,default,numactl,torch,16,0,1,1,16,1783.4901409223676,2401.356857846258,2666.4619819493964,0.0
resnet_manual_none,default,numactl,torch,16,11,1,1,16,2101.1964050121605,2303.0115763889626,3197.1318760188296,0.0
resnet_manual_none,default,numactl,torch,16,14,1,1,16,2140.0101020699367,2333.0759417032823,3011.7086980026215,0.0
resnet_manual_none,default,numactl,torch,16,15,1,1,16,2129.34928399045,2351.9517140777316,3177.364233066328,0.0
resnet_manual_none,default,numactl,torch,16,2,1,1,16,2117.4368959618732,2347.286340224091,3226.1670210864395,0.0
resnet_manual_none,default,numactl,torch,16,16,1,1,16,1974.6054499410093,2370.7408112229314,3280.665688915178,0.0
resnet_manual_none,default,numactl,torch,16,8,1,1,16,1979.1420069523156,2370.1919346069917,3240.9577359212562,0.0
resnet_manual_none,default,numactl,torch,16,12,1,1,16,1918.2452829554677,2414.448191669071,3257.7600079821423,0.0
resnet_manual_none,default,numactl,torch,16,7,1,1,16,2061.926531023346,2398.998187162215,3278.8527290103957,0.0
resnet_manual_none,default,numactl,torch,16,13,1,1,16,1776.0143700288609,2422.545411399333,3255.5218329653144,0.0
resnet_manual_none,default,numactl,torch,16,10,1,1,16,1731.1829320387915,2595.1264233258553,3268.7978360336274,0.0
resnet_manual_none,default,numactl,torch,16,3,1,1,16,1998.653465998359,2722.839894242352,3325.431067030877,0.0
resnet_manual_none,default,numactl,torch,16,9,1,1,16,2004.9836339894682,2724.547247986775,3301.7085299361497,0.0
resnet_manual_none,default,numactl,torch,16,1,1,1,16,1692.3612999962643,2750.3129597427323,3328.933629905805,0.0
resnet_manual_none,default,numactl,torch,16,4,1,1,16,1914.0534399775788,2922.968669012189,3287.337393965572,0.0
resnet_manual_none,default,numactl,torch,16,6,1,1,16,2106.2075350200757,3081.7746541986708,3335.3005630197003,0.0
resnet_manual_none,default,numactl,torch,16,5,1,1,16,2282.8933199634776,3087.1553206513636,3354.8206159612164,0.0
resnet_manual_none,tcmalloc,numactl,torch,2,0,1,1,16,1602.1832899423316,1609.177708310308,2159.7866689553484,0.0
resnet_manual_none,tcmalloc,numactl,torch,2,2,1,1,16,1630.3615479264408,1637.406790991081,2186.551104998216,0.0
resnet_manual_none,tcmalloc,numactl,torch,2,1,1,1,16,1630.4484700085595,1637.4718766566366,2189.1989639261737,0.0
resnet_manual_none,tcmalloc,numactl,torch,4,0,1,1,16,1600.8163589285687,1607.6169858803041,2152.017776039429,0.0
resnet_manual_none,tcmalloc,numactl,torch,4,4,1,1,16,1653.3980988897383,1662.19569303561,2210.8883559703827,0.0
resnet_manual_none,tcmalloc,numactl,torch,4,3,1,1,16,1653.2813450321555,1661.8825964920688,2210.9237250406295,0.0
resnet_manual_none,tcmalloc,numactl,torch,4,2,1,1,16,1656.378087005578,1666.055037768092,2217.7355899475515,0.0
resnet_manual_none,tcmalloc,numactl,torch,4,1,1,1,16,1634.4792409799993,1670.0585696054623,2209.448841982521,0.0
resnet_manual_none,tcmalloc,numactl,torch,6,0,1,1,16,1601.1715589556843,1608.3144385647029,2156.213765963912,0.0
resnet_manual_none,tcmalloc,numactl,torch,6,6,1,1,16,1676.2980030616745,1690.9642814053223,2217.0710699865595,0.0
resnet_manual_none,tcmalloc,numactl,torch,6,3,1,1,16,1684.265761054121,1704.2779548966791,2230.2658970002085,0.0
resnet_manual_none,tcmalloc,numactl,torch,6,4,1,1,16,1684.217595960945,1704.4050468388014,2228.3403339097276,0.0
resnet_manual_none,tcmalloc,numactl,torch,6,5,1,1,16,1679.873986984603,1707.454245990375,2235.8528609620407,0.0
resnet_manual_none,tcmalloc,numactl,torch,6,2,1,1,16,1679.9539220519364,1706.2709148228168,2235.290250973776,0.0
resnet_manual_none,tcmalloc,numactl,torch,6,1,1,1,16,1651.3846589950845,1709.7564479429275,2238.1279340479523,0.0
resnet_manual_none,tcmalloc,numactl,torch,8,0,1,1,16,1600.9655919624493,1607.8955144784413,2151.0493190726265,0.0
resnet_manual_none,tcmalloc,numactl,torch,8,8,1,1,16,1741.6086070006713,1761.427293755114,2258.991740993224,0.0
resnet_manual_none,tcmalloc,numactl,torch,8,3,1,1,16,1744.0765129867941,1762.8412862797268,2266.1468979204074,0.0
resnet_manual_none,tcmalloc,numactl,torch,8,6,1,1,16,1700.351495994255,1773.4864728781395,2246.4171510655433,0.0
resnet_manual_none,tcmalloc,numactl,torch,8,7,1,1,16,1702.6264679152519,1773.7724113697186,2252.4169799871743,0.0
resnet_manual_none,tcmalloc,numactl,torch,8,5,1,1,16,1711.8806159123778,1773.729212086182,2264.258728013374,0.0
resnet_manual_none,tcmalloc,numactl,torch,8,4,1,1,16,1708.1699849804863,1774.126607090002,2262.802159995772,0.0
resnet_manual_none,tcmalloc,numactl,torch,8,2,1,1,16,1698.6075900495052,1775.1202406617813,2272.6919089909643,0.0
resnet_manual_none,tcmalloc,numactl,torch,8,1,1,1,16,1684.9246670026332,1776.7376088513993,2273.593527963385,0.0
resnet_manual_none,tcmalloc,numactl,torch,10,0,1,1,16,1601.3306960230693,1608.8809494266752,2157.2890150127932,0.0
resnet_manual_none,tcmalloc,numactl,torch,10,6,1,1,16,1867.0940980082378,1892.1842222684063,2370.9794599562883,0.0
resnet_manual_none,tcmalloc,numactl,torch,10,7,1,1,16,1866.9027249561623,1891.9198967388365,2374.7425390174612,0.0
resnet_manual_none,tcmalloc,numactl,torch,10,8,1,1,16,1856.7407371010631,1894.4470451655798,2379.2648420203477,0.0
resnet_manual_none,tcmalloc,numactl,torch,10,3,1,1,16,1787.6364419935271,1899.0779690514319,2379.8913389910012,0.0
resnet_manual_none,tcmalloc,numactl,torch,10,4,1,1,16,1756.861274014227,1902.2276794014033,2376.45910307765,0.0
resnet_manual_none,tcmalloc,numactl,torch,10,10,1,1,16,1713.9191890601069,1906.7465726658702,2385.399137972854,0.0
resnet_manual_none,tcmalloc,numactl,torch,10,2,1,1,16,1700.9563440224156,1908.5076524619944,2402.7835089946166,0.0
resnet_manual_none,tcmalloc,numactl,torch,10,5,1,1,16,1698.9256070228294,1909.1217583138496,2384.5601780340075,0.0
resnet_manual_none,tcmalloc,numactl,torch,10,1,1,1,16,1642.7913319785148,1921.199300289154,2402.91139902547,0.0
resnet_manual_none,tcmalloc,numactl,torch,10,9,1,1,16,1638.6308269575238,1921.3490826322231,2383.0606800038368,0.0
resnet_manual_none,tcmalloc,numactl,torch,12,0,1,1,16,1602.657631970942,1609.4453997339588,2158.535336027853,0.0
resnet_manual_none,tcmalloc,numactl,torch,12,6,1,1,16,1973.408046993427,2003.607416494051,2441.8102939380333,0.0
resnet_manual_none,tcmalloc,numactl,torch,12,7,1,1,16,1967.851298977621,2003.6205530597365,2426.091501954943,0.0
resnet_manual_none,tcmalloc,numactl,torch,12,8,1,1,16,1956.68787707109,2010.8652010082735,2442.3251969274133,0.0
resnet_manual_none,tcmalloc,numactl,torch,12,11,1,1,16,1917.1686850022525,2015.603475749958,2439.838806982152,0.0
resnet_manual_none,tcmalloc,numactl,torch,12,3,1,1,16,1928.2878439407796,2014.1393163462635,2440.8113340614364,0.0
resnet_manual_none,tcmalloc,numactl,torch,12,4,1,1,16,1922.1583859762177,2016.632798589999,2448.128537973389,0.0
resnet_manual_none,tcmalloc,numactl,torch,12,12,1,1,16,1833.8319950271398,2018.1593670800794,2445.658828015439,0.0
resnet_manual_none,tcmalloc,numactl,torch,12,9,1,1,16,1761.221875087358,2024.0158166433685,2454.795929021202,0.0
resnet_manual_none,tcmalloc,numactl,torch,12,1,1,1,16,1761.8036799831316,2024.2785630817525,2449.2850329261273,0.0
resnet_manual_none,tcmalloc,numactl,torch,12,5,1,1,16,1755.300238961354,2025.1237920706626,2441.0824039950967,0.0
resnet_manual_none,tcmalloc,numactl,torch,12,10,1,1,16,1714.2608689609915,2026.4803720673078,2456.189866992645,0.0
resnet_manual_none,tcmalloc,numactl,torch,12,2,1,1,16,1602.0583659410477,2018.7532990705224,2562.1988140046597,0.0
resnet_manual_none,tcmalloc,numactl,torch,14,0,1,1,16,1600.0374699942768,1607.466842335416,2151.7899140017107,0.0
resnet_manual_none,tcmalloc,numactl,torch,14,8,1,1,16,2158.89253502246,2202.535256270785,2597.471838002093,0.0
resnet_manual_none,tcmalloc,numactl,torch,14,13,1,1,16,2154.226753045805,2206.529679262312,2595.4633778892457,0.0
resnet_manual_none,tcmalloc,numactl,torch,14,7,1,1,16,2146.4290770236403,2205.6507700518705,2624.909342965111,0.0
resnet_manual_none,tcmalloc,numactl,torch,14,6,1,1,16,2159.049084992148,2205.88547253632,2623.4838279196993,0.0
resnet_manual_none,tcmalloc,numactl,torch,14,14,1,1,16,2164.59628904704,2209.522703146795,2616.4120900211856,0.0
resnet_manual_none,tcmalloc,numactl,torch,14,3,1,1,16,2057.1086540585384,2212.406348879449,2598.0912630911916,0.0
resnet_manual_none,tcmalloc,numactl,torch,14,11,1,1,16,1972.997662029229,2214.7710971336346,2609.766445006244,0.0
resnet_manual_none,tcmalloc,numactl,torch,14,4,1,1,16,1938.3041079854593,2215.7645306538325,2606.7712700460106,0.0
resnet_manual_none,tcmalloc,numactl,torch,14,12,1,1,16,1779.9527749884874,2221.6108004469424,2600.3711649682373,0.0
resnet_manual_none,tcmalloc,numactl,torch,14,10,1,1,16,1744.1299279453233,2226.758071220247,2624.383333022706,0.0
resnet_manual_none,tcmalloc,numactl,torch,14,5,1,1,16,1741.3459790404886,2223.161661021877,2644.8462499538437,0.0
resnet_manual_none,tcmalloc,numactl,torch,14,9,1,1,16,1735.9959039604291,2223.5280443832744,2644.824999035336,0.0
resnet_manual_none,tcmalloc,numactl,torch,14,1,1,1,16,1741.3785599637777,2225.4363333887886,2629.437091993168,0.0
resnet_manual_none,tcmalloc,numactl,torch,14,2,1,1,16,1735.4968190193176,2225.292392949341,2626.4940700493753,0.0
resnet_manual_none,tcmalloc,numactl,torch,16,0,1,1,16,1602.7612700127065,1610.0058868026827,2154.6514380024746,0.0
resnet_manual_none,tcmalloc,numactl,torch,16,3,1,1,16,2302.3919709958136,2358.7882925209124,2752.3652400122955,0.0
resnet_manual_none,tcmalloc,numactl,torch,16,15,1,1,16,2314.035757095553,2360.6915509176906,2753.1710260082036,0.0
resnet_manual_none,tcmalloc,numactl,torch,16,4,1,1,16,2304.3983430834487,2359.4797898456454,2749.696279061027,0.0
resnet_manual_none,tcmalloc,numactl,torch,16,6,1,1,16,2301.91633105278,2358.4997912612744,2746.11986707896,0.0
resnet_manual_none,tcmalloc,numactl,torch,16,7,1,1,16,2311.455781920813,2358.697093190858,2736.30063701421,0.0
resnet_manual_none,tcmalloc,numactl,torch,16,11,1,1,16,2312.4022299889475,2360.7930455286987,2774.4727549143136,0.0
resnet_manual_none,tcmalloc,numactl,torch,16,8,1,1,16,2038.3283239789307,2368.3971193712205,2759.206814924255,0.0
resnet_manual_none,tcmalloc,numactl,torch,16,14,1,1,16,1925.5911440122873,2374.538755894173,2758.9224620023742,0.0
resnet_manual_none,tcmalloc,numactl,torch,16,1,1,1,16,1913.934590993449,2377.7571547671687,2763.1732140434906,0.0
resnet_manual_none,tcmalloc,numactl,torch,16,9,1,1,16,1911.3866849802434,2377.8732181503437,2788.493937929161,0.0
resnet_manual_none,tcmalloc,numactl,torch,16,10,1,1,16,1885.2249680785462,2377.2071220574435,2798.6147890333086,0.0
resnet_manual_none,tcmalloc,numactl,torch,16,2,1,1,16,1880.7606470072642,2377.6430125220213,2803.3877490088344,0.0
resnet_manual_none,tcmalloc,numactl,torch,16,5,1,1,16,1882.4634030461311,2380.2489715791307,2774.4871500181034,0.0
resnet_manual_none,tcmalloc,numactl,torch,16,16,1,1,16,1638.4066949831322,2349.2712991358712,2859.838758013211,0.0
resnet_manual_none,tcmalloc,numactl,torch,16,12,1,1,16,1627.5566070107743,2363.6205573694315,2861.584118101746,0.0
resnet_manual_none,tcmalloc,numactl,torch,16,13,1,1,16,1628.674446954392,2363.837082887767,2872.8344859555364,0.0
