benchmark,allocator,pinning,source,instances,instance_id,interop_threads,intraop_threads,batch_size,throughput
resnet_manual_none,default,numactl,torch,2,0,1,1,16,8.834952499729953
resnet_manual_none,default,numactl,torch,2,1,1,1,16,7.204994457599371
resnet_manual_none,default,numactl,torch,2,2,1,1,16,7.14146920961964
resnet_manual_none,default,numactl,torch,4,0,1,1,16,8.070998566953783
resnet_manual_none,default,numactl,torch,4,2,1,1,16,8.638781663523256
resnet_manual_none,default,numactl,torch,4,4,1,1,16,7.462053816873313
resnet_manual_none,default,numactl,torch,4,1,1,1,16,7.202622009070379
resnet_manual_none,default,numactl,torch,4,3,1,1,16,6.994826233794897
resnet_manual_none,default,numactl,torch,6,0,1,1,16,6.63448978615491
resnet_manual_none,default,numactl,torch,6,2,1,1,16,8.617113672325273
resnet_manual_none,default,numactl,torch,6,3,1,1,16,7.06886457377796
resnet_manual_none,default,numactl,torch,6,1,1,1,16,6.926499093735051
resnet_manual_none,default,numactl,torch,6,4,1,1,16,6.4214588378793716
resnet_manual_none,default,numactl,torch,6,6,1,1,16,6.031991338341931
resnet_manual_none,default,numactl,torch,6,5,1,1,16,6.012454565903563
resnet_manual_none,default,numactl,torch,8,0,1,1,16,6.658796600828925
resnet_manual_none,default,numactl,torch,8,2,1,1,16,8.45409720578366
resnet_manual_none,default,numactl,torch,8,8,1,1,16,8.355949971311844
resnet_manual_none,default,numactl,torch,8,7,1,1,16,8.245293044911538
resnet_manual_none,default,numactl,torch,8,3,1,1,16,6.957581231711568
resnet_manual_none,default,numactl,torch,8,1,1,1,16,6.826060036505871
resnet_manual_none,default,numactl,torch,8,4,1,1,16,6.346608808746487
resnet_manual_none,default,numactl,torch,8,6,1,1,16,5.952399333059075
resnet_manual_none,default,numactl,torch,8,5,1,1,16,5.917023394574114
resnet_manual_none,default,numactl,torch,10,0,1,1,16,7.791509066288595
resnet_manual_none,default,numactl,torch,10,8,1,1,16,8.269402004764641
resnet_manual_none,default,numactl,torch,10,7,1,1,16,7.922297656778489
resnet_manual_none,default,numactl,torch,10,4,1,1,16,7.478149656383969
resnet_manual_none,default,numactl,torch,10,2,1,1,16,7.516313414518714
resnet_manual_none,default,numactl,torch,10,1,1,1,16,7.503986593871536
resnet_manual_none,default,numactl,torch,10,3,1,1,16,7.238285886507627
resnet_manual_none,default,numactl,torch,10,10,1,1,16,7.024566697227922
resnet_manual_none,default,numactl,torch,10,6,1,1,16,6.378889544398618
resnet_manual_none,default,numactl,torch,10,5,1,1,16,6.341227721135648
resnet_manual_none,default,numactl,torch,10,9,1,1,16,5.989332939377653
resnet_manual_none,default,numactl,torch,12,0,1,1,16,6.902236047203557
resnet_manual_none,default,numactl,torch,12,3,1,1,16,7.805757950335357
resnet_manual_none,default,numactl,torch,12,1,1,1,16,7.78800971877674
resnet_manual_none,default,numactl,torch,12,7,1,1,16,7.701745046324279
resnet_manual_none,default,numactl,torch,12,5,1,1,16,7.517766746006132
resnet_manual_none,default,numactl,torch,12,10,1,1,16,7.506157722726879
resnet_manual_none,default,numactl,torch,12,4,1,1,16,7.300622467755912
resnet_manual_none,default,numactl,torch,12,12,1,1,16,7.210750711962952
resnet_manual_none,default,numactl,torch,12,9,1,1,16,7.252016473528231
resnet_manual_none,default,numactl,torch,12,6,1,1,16,6.575766565323506
resnet_manual_none,default,numactl,torch,12,8,1,1,16,6.524897035812998
resnet_manual_none,default,numactl,torch,12,11,1,1,16,6.357773984634297
resnet_manual_none,default,numactl,torch,12,2,1,1,16,5.8347372272031635
resnet_manual_none,default,numactl,torch,14,0,1,1,16,8.67521386683051
resnet_manual_none,default,numactl,torch,14,1,1,1,16,7.30610500261554
resnet_manual_none,default,numactl,torch,14,13,1,1,16,7.373293939979036
resnet_manual_none,default,numactl,torch,14,2,1,1,16,7.120448531892765
resnet_manual_none,default,numactl,torch,14,8,1,1,16,7.163395825008155
resnet_manual_none,default,numactl,torch,14,9,1,1,16,7.068350361341089
resnet_manual_none,default,numactl,torch,14,6,1,1,16,6.9677172145322785
resnet_manual_none,default,numactl,torch,14,7,1,1,16,6.15566747784153
resnet_manual_none,default,numactl,torch,14,14,1,1,16,6.120325900694318
resnet_manual_none,default,numactl,torch,14,12,1,1,16,5.891334831770956
resnet_manual_none,default,numactl,torch,14,4,1,1,16,5.6272732056796135
resnet_manual_none,default,numactl,torch,14,5,1,1,16,5.625866125688269
resnet_manual_none,default,numactl,torch,14,11,1,1,16,5.41772544894532
resnet_manual_none,default,numactl,torch,14,3,1,1,16,5.426318466731888
resnet_manual_none,default,numactl,torch,14,10,1,1,16,5.4222493268830885
resnet_manual_none,default,numactl,torch,16,0,1,1,16,6.662899746749913
resnet_manual_none,default,numactl,torch,16,11,1,1,16,6.94742491268212
resnet_manual_none,default,numactl,torch,16,14,1,1,16,6.85789935681179
resnet_manual_none,default,numactl,torch,16,15,1,1,16,6.802860749322
resnet_manual_none,default,numactl,torch,16,2,1,1,16,6.8163818473346165
resnet_manual_none,default,numactl,torch,16,16,1,1,16,6.748945276622839
resnet_manual_none,default,numactl,torch,16,8,1,1,16,6.750508161970016
resnet_manual_none,default,numactl,torch,16,12,1,1,16,6.626772964194127
resnet_manual_none,default,numactl,torch,16,7,1,1,16,6.669450642197637
resnet_manual_none,default,numactl,torch,16,13,1,1,16,6.604623353895328
resnet_manual_none,default,numactl,torch,16,10,1,1,16,6.165402909155679
resnet_manual_none,default,numactl,torch,16,3,1,1,16,5.876217707046673
resnet_manual_none,default,numactl,torch,16,9,1,1,16,5.87253534025616
resnet_manual_none,default,numactl,torch,16,1,1,1,16,5.817519763822318
resnet_manual_none,default,numactl,torch,16,4,1,1,16,5.4738869320166765
resnet_manual_none,default,numactl,torch,16,6,1,1,16,5.191813742189515
resnet_manual_none,default,numactl,torch,16,5,1,1,16,5.182764823320952
resnet_manual_none,tcmalloc,numactl,torch,2,0,1,1,16,9.942966471242354
resnet_manual_none,tcmalloc,numactl,torch,2,2,1,1,16,9.771548577928888
resnet_manual_none,tcmalloc,numactl,torch,2,1,1,1,16,9.77116018179716
resnet_manual_none,tcmalloc,numactl,torch,4,0,1,1,16,9.952619399103119
resnet_manual_none,tcmalloc,numactl,torch,4,4,1,1,16,9.625822078012822
resnet_manual_none,tcmalloc,numactl,torch,4,3,1,1,16,9.627635570510867
resnet_manual_none,tcmalloc,numactl,torch,4,2,1,1,16,9.60352427578514
resnet_manual_none,tcmalloc,numactl,torch,4,1,1,1,16,9.580502319616173
resnet_manual_none,tcmalloc,numactl,torch,6,0,1,1,16,9.948303401590284
resnet_manual_none,tcmalloc,numactl,torch,6,6,1,1,16,9.46205675421054
resnet_manual_none,tcmalloc,numactl,torch,6,3,1,1,16,9.388139976832589
resnet_manual_none,tcmalloc,numactl,torch,6,4,1,1,16,9.387439933761968
resnet_manual_none,tcmalloc,numactl,torch,6,5,1,1,16,9.37067569311031
resnet_manual_none,tcmalloc,numactl,torch,6,2,1,1,16,9.377174434026777
resnet_manual_none,tcmalloc,numactl,torch,6,1,1,1,16,9.358057996652215
resnet_manual_none,tcmalloc,numactl,torch,8,0,1,1,16,9.950895351051448
resnet_manual_none,tcmalloc,numactl,torch,8,8,1,1,16,9.083542679692592
resnet_manual_none,tcmalloc,numactl,torch,8,3,1,1,16,9.076256679786615
resnet_manual_none,tcmalloc,numactl,torch,8,6,1,1,16,9.021777298382247
resnet_manual_none,tcmalloc,numactl,torch,8,7,1,1,16,9.0203229554375
resnet_manual_none,tcmalloc,numactl,torch,8,5,1,1,16,9.020542645955244
resnet_manual_none,tcmalloc,numactl,torch,8,4,1,1,16,9.018522091973967
resnet_manual_none,tcmalloc,numactl,torch,8,2,1,1,16,9.013473923341133
resnet_manual_none,tcmalloc,numactl,torch,8,1,1,1,16,9.005268938019192
resnet_manual_none,tcmalloc,numactl,torch,10,0,1,1,16,9.944800456305732
resnet_manual_none,tcmalloc,numactl,torch,10,6,1,1,16,8.45583628258919
resnet_manual_none,tcmalloc,numactl,torch,10,7,1,1,16,8.457017671614807
resnet_manual_none,tcmalloc,numactl,torch,10,8,1,1,16,8.445736206155901
resnet_manual_none,tcmalloc,numactl,torch,10,3,1,1,16,8.425141179428152
resnet_manual_none,tcmalloc,numactl,torch,10,4,1,1,16,8.411190822875056
resnet_manual_none,tcmalloc,numactl,torch,10,10,1,1,16,8.39125672460499
resnet_manual_none,tcmalloc,numactl,torch,10,2,1,1,16,8.383513673293285
resnet_manual_none,tcmalloc,numactl,torch,10,5,1,1,16,8.380816954352518
resnet_manual_none,tcmalloc,numactl,torch,10,1,1,1,16,8.328131286323021
resnet_manual_none,tcmalloc,numactl,torch,10,9,1,1,16,8.327482051351236
resnet_manual_none,tcmalloc,numactl,torch,12,0,1,1,16,9.94131270476451
resnet_manual_none,tcmalloc,numactl,torch,12,6,1,1,16,7.985596314070894
resnet_manual_none,tcmalloc,numactl,torch,12,7,1,1,16,7.985543957196057
resnet_manual_none,tcmalloc,numactl,torch,12,8,1,1,16,7.956774025418212
resnet_manual_none,tcmalloc,numactl,torch,12,11,1,1,16,7.938069264365988
resnet_manual_none,tcmalloc,numactl,torch,12,3,1,1,16,7.943839768256298
resnet_manual_none,tcmalloc,numactl,torch,12,4,1,1,16,7.934017542106314
resnet_manual_none,tcmalloc,numactl,torch,12,12,1,1,16,7.928016122507301
resnet_manual_none,tcmalloc,numactl,torch,12,9,1,1,16,7.905076565327652
resnet_manual_none,tcmalloc,numactl,torch,12,1,1,1,16,7.904050505599225
resnet_manual_none,tcmalloc,numactl,torch,12,5,1,1,16,7.900751580050427
resnet_manual_none,tcmalloc,numactl,torch,12,10,1,1,16,7.89546260627121
resnet_manual_none,tcmalloc,numactl,torch,12,2,1,1,16,7.925683642160113
resnet_manual_none,tcmalloc,numactl,torch,14,0,1,1,16,9.953549011781993
resnet_manual_none,tcmalloc,numactl,torch,14,8,1,1,16,7.264355907333055
resnet_manual_none,tcmalloc,numactl,torch,14,13,1,1,16,7.251205433751123
resnet_manual_none,tcmalloc,numactl,torch,14,7,1,1,16,7.254094898996057
resnet_manual_none,tcmalloc,numactl,torch,14,6,1,1,16,7.253323075564414
resnet_manual_none,tcmalloc,numactl,torch,14,14,1,1,16,7.241382936329576
resnet_manual_none,tcmalloc,numactl,torch,14,3,1,1,16,7.231944533201942
resnet_manual_none,tcmalloc,numactl,torch,14,11,1,1,16,7.224222864704737
resnet_manual_none,tcmalloc,numactl,torch,14,4,1,1,16,7.2209838990782504
resnet_manual_none,tcmalloc,numactl,torch,14,12,1,1,16,7.201981551755658
resnet_manual_none,tcmalloc,numactl,torch,14,10,1,1,16,7.185333784928022
resnet_manual_none,tcmalloc,numactl,torch,14,5,1,1,16,7.196957504496364
resnet_manual_none,tcmalloc,numactl,torch,14,9,1,1,16,7.195771620878214
resnet_manual_none,tcmalloc,numactl,torch,14,1,1,1,16,7.189601319951472
resnet_manual_none,tcmalloc,numactl,torch,14,2,1,1,16,7.190066370915888
resnet_manual_none,tcmalloc,numactl,torch,16,0,1,1,16,9.937851862004347
resnet_manual_none,tcmalloc,numactl,torch,16,3,1,1,16,6.7831437228731915
resnet_manual_none,tcmalloc,numactl,torch,16,15,1,1,16,6.7776749545192345
resnet_manual_none,tcmalloc,numactl,torch,16,4,1,1,16,6.781155773767701
resnet_manual_none,tcmalloc,numactl,torch,16,6,1,1,16,6.7839734645232035
resnet_manual_none,tcmalloc,numactl,torch,16,7,1,1,16,6.783405994007952
resnet_manual_none,tcmalloc,numactl,torch,16,11,1,1,16,6.777383570450499
resnet_manual_none,tcmalloc,numactl,torch,16,8,1,1,16,6.755623822177168
resnet_manual_none,tcmalloc,numactl,torch,16,14,1,1,16,6.738150708336166
resnet_manual_none,tcmalloc,numactl,torch,16,1,1,1,16,6.72903032503617
resnet_manual_none,tcmalloc,numactl,torch,16,9,1,1,16,6.728701882788261
resnet_manual_none,tcmalloc,numactl,torch,16,10,1,1,16,6.730587272577325
resnet_manual_none,tcmalloc,numactl,torch,16,2,1,1,16,6.729353362020662
resnet_manual_none,tcmalloc,numactl,torch,16,5,1,1,16,6.7219858893101865
resnet_manual_none,tcmalloc,numactl,torch,16,16,1,1,16,6.810622513408841
resnet_manual_none,tcmalloc,numactl,torch,16,12,1,1,16,6.769276037185531
resnet_manual_none,tcmalloc,numactl,torch,16,13,1,1,16,6.768655977108922
